Variação_12_Meses_(%)_data,Variação_12_Meses_(%)_port1,Variação_12_Meses_(%)_port4,Variação_12_Meses_(%)_port8
2013-01-15,12.2704,14.6057,20.1234
2013-01-16,12.3627,14.8131,20.3181
2013-01-17,12.1698,14.397,19.8267
2013-01-18,12.1166,14.3456,19.8152
2013-01-22,12.1684,14.3379,19.9509
2013-01-23,12.1862,14.2764,19.6738
2013-01-24,11.9112,13.874,19.3326
2013-01-28,11.9772,14.0985,19.9322
2013-01-29,11.9396,14.0556,19.7431
2013-01-30,11.4939,13.2513,19.3735
2013-01-31,11.5185,13.3188,19.3484
2013-02-01,11.6682,13.6508,19.5801
2013-02-04,11.5081,13.3891,19.3612
2013-02-05,11.3796,13.171,19.1914
2013-02-06,11.1792,12.8167,18.9382
2013-02-07,11.0591,12.5784,18.6922
2013-02-08,11.0834,12.6587,18.7992
2013-02-13,11.1359,12.804,18.9822
2013-02-14,10.8686,12.3395,18.6437
2013-02-15,10.6734,11.9866,18.2928
2013-02-19,10.5633,11.7934,18.3225
2013-02-20,10.3092,11.4221,18.1629
2013-02-21,10.3203,11.3581,17.8586
2013-02-22,10.2993,11.4022,17.9433
2013-02-25,10.0875,11.002,17.2195
2013-02-26,10.0817,11.0507,17.3164
2013-02-27,10.094,11.1665,17.5979
2013-02-28,10.0615,11.1137,17.4936
2013-03-01,9.9028,10.8017,17.4933
2013-03-04,9.806,10.6335,17.3672
2013-03-05,9.7253,10.4538,17.3111
2013-03-06,9.9194,10.8383,17.3799
2013-03-07,9.8463,10.7547,17.2275
2013-03-08,9.7378,10.5303,16.9628
2013-03-11,9.7364,10.5971,17.0419
2013-03-12,9.7631,10.6678,16.9568
2013-03-13,9.4795,10.0226,16.3166
2013-03-14,9.5411,10.1465,16.4725
2013-03-15,9.4547,9.9774,16.427
2013-03-18,9.3524,9.7213,15.9173
2013-03-19,9.2242,9.4247,15.4456
2013-03-20,9.1806,9.3346,15.3427
2013-03-21,9.0979,9.2008,15.1039
2013-03-22,9.1186,9.2497,15.3084
2013-03-25,9.1396,9.2457,15.0562
2013-03-26,9.0242,9.1658,15.0201
2013-03-27,8.9521,9.0574,14.9573
2013-03-28,8.8075,8.892,15.0735
2013-04-01,8.7611,8.8604,14.9735
2013-04-02,8.869,9.0965,15.376
2013-04-03,8.7061,8.7987,14.7702
2013-04-04,8.407,8.2841,14.3932
2013-04-05,8.4261,8.3454,14.2043
2013-04-08,8.4635,8.3651,14.0477
2013-04-09,8.3288,8.0406,13.5011
2013-04-10,8.4261,8.2914,13.9502
2013-04-11,8.4079,8.1771,13.789
2013-04-12,8.2318,7.9702,13.6206
2013-04-15,7.9603,7.3806,12.9557
2013-04-16,8.1096,7.6945,13.1473
2013-04-17,7.9896,7.3932,12.6418
2013-04-18,8.3869,7.9064,12.9442
2013-04-19,8.4555,8.0362,12.9248
2013-04-22,8.4572,8.0035,12.8536
2013-04-23,8.5952,8.277,13.0679
2013-04-24,8.6566,8.3999,13.0333
2013-04-25,8.6228,8.3382,12.8801
2013-04-26,8.5827,8.3305,13.0763
2013-04-29,8.5322,8.2192,12.8335
2013-04-30,8.6999,8.5785,12.9146
2013-05-02,8.746,8.659,13.0373
2013-05-03,8.7434,8.6242,13.0982
2013-05-06,8.8302,8.7638,13.2201
2013-05-07,9.0537,9.2624,13.773
2013-05-08,9.0761,9.2677,13.7472
