Variação_Diária_(%),data
-0.1753,2012-07-12
0.4706,2012-07-13
0.0693,2012-07-16
0.0003,2012-07-17
0.2753,2012-07-18
0.2717,2012-07-19
-0.0903,2012-07-20
0.2839,2012-07-23
-0.2791,2012-07-24
0.223,2012-07-25
0.2626,2012-07-26
0.2041,2012-07-27
0.109,2012-07-30
0.0399,2012-07-31
-0.0677,2012-08-01
-0.0015,2012-08-02
0.3189,2012-08-03
0.0415,2012-08-06
0.1406,2012-08-07
-0.3493,2012-08-08
0.2266,2012-08-09
-0.0815,2012-08-10
-0.0399,2012-08-13
0.1533,2012-08-14
0.2662,2012-08-15
-0.0236,2012-08-16
0.1475,2012-08-17
-0.1559,2012-08-20
-0.1338,2012-08-21
-0.0384,2012-08-22
-0.2341,2012-08-23
0.1305,2012-08-24
-0.0647,2012-08-27
0.5756,2012-08-28
0.2275,2012-08-29
-0.6884,2012-08-30
0.258,2012-08-31
0.2412,2012-09-04
-0.063,2012-09-05
0.4185,2012-09-06
0.0393,2012-09-10
0.1758,2012-09-11
0.0711,2012-09-12
0.4259,2012-09-13
0.0303,2012-09-14
-0.0109,2012-09-17
0.0268,2012-09-19
0.1051,2012-09-20
-0.0338,2012-09-21
-0.0241,2012-09-24
-0.1901,2012-09-25
-0.0566,2012-09-26
0.1192,2012-09-27
0.0192,2012-09-28
-0.1423,2012-10-01
0.1407,2012-10-02
0.2583,2012-10-04
0.0874,2012-10-05
0.058,2012-10-08
-0.0847,2012-10-09
-0.1923,2012-10-10
0.2521,2012-10-11
-0.0034,2012-10-15
0.2889,2012-10-16
0.0253,2012-10-17
-0.0346,2012-10-18
-0.331,2012-10-19
-0.0374,2012-10-22
-0.3203,2012-10-23
-0.0404,2012-10-24
-0.0811,2012-10-25
-0.0186,2012-10-26
-0.0412,2012-10-31
0.2056,2012-11-01
-0.476,2012-11-05
0.1103,2012-11-06
-0.2458,2012-11-07
-0.4441,2012-11-08
-0.0318,2012-11-09
-0.0571,2012-11-12
-0.1115,2012-11-13
-0.3449,2012-11-14
0.1393,2012-11-16
0.4676,2012-11-19
-0.0061,2012-11-21
0.4099,2012-11-23
-0.2471,2012-11-26
0.2175,2012-11-27
0.3942,2012-11-28
0.2933,2012-11-29
0.0969,2012-11-30
0.1921,2012-12-03
0.2797,2012-12-04
0.0218,2012-12-05
0.3969,2012-12-06
0.1521,2012-12-07
-0.0669,2012-12-10
0.0145,2012-12-11
-0.0029,2012-12-12
0.077,2012-12-13
-0.1892,2012-12-14
0.1651,2012-12-17
0.2785,2012-12-18
0.1088,2012-12-19
-0.0052,2012-12-20
0.1408,2012-12-26
